state,count,qn
AL,4,FndRaise_DcrsCnslt
AR,1,FndRaise_DcrsCnslt
AZ,7,FndRaise_DcrsCnslt
CO,7,FndRaise_DcrsCnslt
ID,2,FndRaise_DcrsCnslt
KY,4,FndRaise_DcrsCnslt
LA,4,FndRaise_DcrsCnslt
MS,1,FndRaise_DcrsCnslt
MT,3,FndRaise_DcrsCnslt
NM,3,FndRaise_DcrsCnslt
NV,5,FndRaise_DcrsCnslt
OK,4,FndRaise_DcrsCnslt
TN,9,FndRaise_DcrsCnslt
TX,23,FndRaise_DcrsCnslt
UT,5,FndRaise_DcrsCnslt
WY,2,FndRaise_DcrsCnslt
AL,4,FndRaise_IncrVolntr
AR,1,FndRaise_IncrVolntr
AZ,7,FndRaise_IncrVolntr
CO,10,FndRaise_IncrVolntr
ID,2,FndRaise_IncrVolntr
KY,4,FndRaise_IncrVolntr
LA,6,FndRaise_IncrVolntr
MS,1,FndRaise_IncrVolntr
MT,3,FndRaise_IncrVolntr
NM,3,FndRaise_IncrVolntr
NV,5,FndRaise_IncrVolntr
OK,5,FndRaise_IncrVolntr
TN,11,FndRaise_IncrVolntr
TX,26,FndRaise_IncrVolntr
UT,6,FndRaise_IncrVolntr
WY,2,FndRaise_IncrVolntr
AL,4,FndRaise_DcrsVolntr
AR,1,FndRaise_DcrsVolntr
AZ,6,FndRaise_DcrsVolntr
CO,9,FndRaise_DcrsVolntr
ID,2,FndRaise_DcrsVolntr
KY,4,FndRaise_DcrsVolntr
LA,6,FndRaise_DcrsVolntr
MS,1,FndRaise_DcrsVolntr
MT,3,FndRaise_DcrsVolntr
NM,3,FndRaise_DcrsVolntr
NV,5,FndRaise_DcrsVolntr
OK,5,FndRaise_DcrsVolntr
TN,11,FndRaise_DcrsVolntr
TX,25,FndRaise_DcrsVolntr
UT,6,FndRaise_DcrsVolntr
WY,2,FndRaise_DcrsVolntr
AL,4,FndRaise_DAF_Seek
AR,2,FndRaise_DAF_Seek
AZ,8,FndRaise_DAF_Seek
CO,10,FndRaise_DAF_Seek
ID,2,FndRaise_DAF_Seek
KY,4,FndRaise_DAF_Seek
LA,6,FndRaise_DAF_Seek
MS,1,FndRaise_DAF_Seek
MT,3,FndRaise_DAF_Seek
NM,4,FndRaise_DAF_Seek
NV,5,FndRaise_DAF_Seek
OK,5,FndRaise_DAF_Seek
TN,13,FndRaise_DAF_Seek
TX,31,FndRaise_DAF_Seek
UT,6,FndRaise_DAF_Seek
WY,3,FndRaise_DAF_Seek
AL,4,VolImportance
AR,2,VolImportance
AZ,8,VolImportance
CO,13,VolImportance
ID,2,VolImportance
KY,4,VolImportance
LA,6,VolImportance
MS,1,VolImportance
MT,3,VolImportance
NM,5,VolImportance
NV,5,VolImportance
OK,6,VolImportance
TN,14,VolImportance
TX,36,VolImportance
UT,7,VolImportance
WY,3,VolImportance
AL,5,CEOrace
AR,2,CEOrace
AZ,9,CEOrace
CO,16,CEOrace
ID,2,CEOrace
KY,6,CEOrace
LA,7,CEOrace
MS,1,CEOrace
MT,3,CEOrace
NM,5,CEOrace
NV,5,CEOrace
OK,6,CEOrace
TN,17,CEOrace
TX,40,CEOrace
UT,7,CEOrace
WY,3,CEOrace
AL,5,CEOgender
AR,2,CEOgender
AZ,9,CEOgender
CO,16,CEOgender
ID,2,CEOgender
KY,6,CEOgender
LA,7,CEOgender
MS,1,CEOgender
MT,3,CEOgender
NM,5,CEOgender
NV,5,CEOgender
OK,6,CEOgender
TN,17,CEOgender
TX,40,CEOgender
UT,7,CEOgender
WY,3,CEOgender
AL,5,BChairrace
AR,2,BChairrace
AZ,9,BChairrace
CO,16,BChairrace
ID,2,BChairrace
KY,6,BChairrace
LA,7,BChairrace
MS,1,BChairrace
MT,3,BChairrace
NM,5,BChairrace
NV,5,BChairrace
OK,6,BChairrace
TN,17,BChairrace
TX,40,BChairrace
UT,7,BChairrace
WY,3,BChairrace
AL,5,BChairgender
AR,2,BChairgender
AZ,9,BChairgender
CO,16,BChairgender
ID,2,BChairgender
KY,6,BChairgender
LA,7,BChairgender
MS,1,BChairgender
MT,3,BChairgender
NM,5,BChairgender
NV,5,BChairgender
OK,6,BChairgender
TN,17,BChairgender
TX,40,BChairgender
UT,7,BChairgender
WY,3,BChairgender
