state,count,qn
NM,11,BCrace
NV,13,BCrace
OK,12,BCrace
TN,33,BCrace
TX,82,BCrace
UT,8,BCrace
WY,5,BCrace
AL,14,CEOgender
AR,4,CEOgender
AZ,16,CEOgender
CO,50,CEOgender
ID,5,CEOgender
KY,16,CEOgender
LA,17,CEOgender
MS,4,CEOgender
MT,7,CEOgender
NM,11,CEOgender
NV,13,CEOgender
OK,12,CEOgender
TN,33,CEOgender
TX,82,CEOgender
UT,8,CEOgender
WY,5,CEOgender
AL,14,BChairgender
AR,4,BChairgender
AZ,16,BChairgender
CO,50,BChairgender
ID,5,BChairgender
KY,16,BChairgender
LA,17,BChairgender
MS,4,BChairgender
MT,8,BChairgender
NM,11,BChairgender
NV,13,BChairgender
OK,12,BChairgender
TN,33,BChairgender
TX,81,BChairgender
UT,8,BChairgender
WY,5,BChairgender
