state,count,qn
AL,15,FndRaise_Overall_Chng
AR,5,FndRaise_Overall_Chng
AZ,15,FndRaise_Overall_Chng
CO,50,FndRaise_Overall_Chng
ID,6,FndRaise_Overall_Chng
KY,15,FndRaise_Overall_Chng
LA,18,FndRaise_Overall_Chng
MS,4,FndRaise_Overall_Chng
MT,7,FndRaise_Overall_Chng
NM,8,FndRaise_Overall_Chng
NV,14,FndRaise_Overall_Chng
OK,17,FndRaise_Overall_Chng
TN,35,FndRaise_Overall_Chng
TX,84,FndRaise_Overall_Chng
UT,11,FndRaise_Overall_Chng
WY,7,FndRaise_Overall_Chng
AL,15,FndRaise_Cashbelow250_Chng
AR,5,FndRaise_Cashbelow250_Chng
AZ,15,FndRaise_Cashbelow250_Chng
CO,48,FndRaise_Cashbelow250_Chng
ID,6,FndRaise_Cashbelow250_Chng
KY,15,FndRaise_Cashbelow250_Chng
LA,17,FndRaise_Cashbelow250_Chng
MS,4,FndRaise_Cashbelow250_Chng
MT,8,FndRaise_Cashbelow250_Chng
NM,8,FndRaise_Cashbelow250_Chng
NV,14,FndRaise_Cashbelow250_Chng
OK,17,FndRaise_Cashbelow250_Chng
TN,35,FndRaise_Cashbelow250_Chng
TX,85,FndRaise_Cashbelow250_Chng
UT,11,FndRaise_Cashbelow250_Chng
WY,7,FndRaise_Cashbelow250_Chng
AL,15,FndRaise_Cashabove250_Chng
AR,5,FndRaise_Cashabove250_Chng
AZ,14,FndRaise_Cashabove250_Chng
CO,49,FndRaise_Cashabove250_Chng
ID,6,FndRaise_Cashabove250_Chng
KY,15,FndRaise_Cashabove250_Chng
LA,18,FndRaise_Cashabove250_Chng
MS,4,FndRaise_Cashabove250_Chng
MT,8,FndRaise_Cashabove250_Chng
NM,8,FndRaise_Cashabove250_Chng
NV,14,FndRaise_Cashabove250_Chng
OK,17,FndRaise_Cashabove250_Chng
TN,35,FndRaise_Cashabove250_Chng
TX,85,FndRaise_Cashabove250_Chng
UT,11,FndRaise_Cashabove250_Chng
WY,7,FndRaise_Cashabove250_Chng
AL,17,FndRaise_DAF_Rcv
AR,6,FndRaise_DAF_Rcv
AZ,18,FndRaise_DAF_Rcv
CO,54,FndRaise_DAF_Rcv
ID,6,FndRaise_DAF_Rcv
KY,20,FndRaise_DAF_Rcv
LA,18,FndRaise_DAF_Rcv
MS,5,FndRaise_DAF_Rcv
MT,9,FndRaise_DAF_Rcv
NM,12,FndRaise_DAF_Rcv
NV,14,FndRaise_DAF_Rcv
OK,18,FndRaise_DAF_Rcv
TN,35,FndRaise_DAF_Rcv
TX,93,FndRaise_DAF_Rcv
UT,10,FndRaise_DAF_Rcv
WY,7,FndRaise_DAF_Rcv
AL,22,DonImportance
AR,7,DonImportance
AZ,25,DonImportance
CO,67,DonImportance
ID,6,DonImportance
KY,25,DonImportance
LA,17,DonImportance
MS,6,DonImportance
MT,11,DonImportance
NM,13,DonImportance
NV,16,DonImportance
OK,23,DonImportance
TN,42,DonImportance
TX,107,DonImportance
UT,12,DonImportance
WY,10,DonImportance
AL,14,FndRaise_DvlpVirtual
AR,4,FndRaise_DvlpVirtual
AZ,14,FndRaise_DvlpVirtual
CO,45,FndRaise_DvlpVirtual
ID,4,FndRaise_DvlpVirtual
KY,13,FndRaise_DvlpVirtual
LA,14,FndRaise_DvlpVirtual
MS,4,FndRaise_DvlpVirtual
MT,7,FndRaise_DvlpVirtual
NM,11,FndRaise_DvlpVirtual
NV,10,FndRaise_DvlpVirtual
OK,11,FndRaise_DvlpVirtual
TN,32,FndRaise_DvlpVirtual
TX,69,FndRaise_DvlpVirtual
UT,7,FndRaise_DvlpVirtual
WY,4,FndRaise_DvlpVirtual
AL,14,FndRaise_IncrExp
AR,4,FndRaise_IncrExp
AZ,14,FndRaise_IncrExp
CO,43,FndRaise_IncrExp
ID,4,FndRaise_IncrExp
KY,12,FndRaise_IncrExp
LA,15,FndRaise_IncrExp
MS,4,FndRaise_IncrExp
MT,7,FndRaise_IncrExp
NM,11,FndRaise_IncrExp
NV,10,FndRaise_IncrExp
OK,11,FndRaise_IncrExp
TN,31,FndRaise_IncrExp
TX,68,FndRaise_IncrExp
UT,7,FndRaise_IncrExp
WY,4,FndRaise_IncrExp
AL,22,VolImportance
AR,7,VolImportance
AZ,25,VolImportance
CO,66,VolImportance
ID,6,VolImportance
KY,25,VolImportance
LA,18,VolImportance
MS,6,VolImportance
MT,11,VolImportance
NM,13,VolImportance
NV,16,VolImportance
OK,24,VolImportance
TN,42,VolImportance
TX,108,VolImportance
UT,12,VolImportance
WY,10,VolImportance
AL,14,CEOrace
AR,4,CEOrace
AZ,16,CEOrace
CO,50,CEOrace
ID,5,CEOrace
KY,16,CEOrace
LA,17,CEOrace
MS,4,CEOrace
MT,8,CEOrace
NM,11,CEOrace
NV,13,CEOrace
OK,12,CEOrace
TN,33,CEOrace
TX,82,CEOrace
UT,8,CEOrace
WY,5,CEOrace
AL,14,BCrace
AR,4,BCrace
AZ,16,BCrace
CO,50,BCrace
ID,5,BCrace
KY,16,BCrace
LA,17,BCrace
MS,4,BCrace
MT,8,BCrace
