"","Number of Responses","Variable Name","Year","Region"
"1",409,"DonImportance","1","Southwest and Mountain Central"
"2",411,"VolImportance","1","Southwest and Mountain Central"
"3",263,"FRchanges_1","1","Southwest and Mountain Central"
"4",259,"FRchanges_2","1","Southwest and Mountain Central"
"5",256,"FRchanges_3","1","Southwest and Mountain Central"
"6",311,"FRchanges_2_1","1","Southwest and Mountain Central"
"7",310,"FRchanges_2_2","1","Southwest and Mountain Central"
"8",311,"FRchanges_2_3","1","Southwest and Mountain Central"
"9",143,"Funding2_1_5_1","1","Southwest and Mountain Central"
"10",298,"CEOrace","1","Southwest and Mountain Central"
"11",298,"BCrace","1","Southwest and Mountain Central"
"12",160,"DonImportance","1","Mountain Central"
"13",159,"VolImportance","1","Mountain Central"
"14",102,"FRchanges_1","1","Mountain Central"
"15",100,"FRchanges_2","1","Mountain Central"
"16",99,"FRchanges_3","1","Mountain Central"
"17",118,"FRchanges_2_1","1","Mountain Central"
"18",117,"FRchanges_2_2","1","Mountain Central"
"19",117,"FRchanges_2_3","1","Mountain Central"
"20",54,"Funding2_1_5_1","1","Mountain Central"
"21",116,"CEOrace","1","Mountain Central"
"22",116,"BCrace","1","Mountain Central"
"23",249,"DonImportance","1","Southwest"
"24",252,"VolImportance","1","Southwest"
"25",161,"FRchanges_1","1","Southwest"
"26",159,"FRchanges_2","1","Southwest"
"27",157,"FRchanges_3","1","Southwest"
"28",193,"FRchanges_2_1","1","Southwest"
"29",193,"FRchanges_2_2","1","Southwest"
"30",194,"FRchanges_2_3","1","Southwest"
"31",89,"Funding2_1_5_1","1","Southwest"
"32",182,"CEOrace","1","Southwest"
"33",182,"BCrace","1","Southwest"
"34",1,"BCrace_1","2","Southwest and Mountain Central"
"35",4,"BCrace_2","2","Southwest and Mountain Central"
"36",3,"BCrace_3","2","Southwest and Mountain Central"
"37",1,"BCrace_4","2","Southwest and Mountain Central"
"38",55,"BCrace_5","2","Southwest and Mountain Central"
"39",4,"BCrace_6","2","Southwest and Mountain Central"
"40",2,"BCrace_7","2","Southwest and Mountain Central"
"41",10,"CEOrace_1","2","Southwest and Mountain Central"
"42",11,"CEOrace_2","2","Southwest and Mountain Central"
"43",15,"CEOrace_3","2","Southwest and Mountain Central"
"44",10,"CEOrace_4","2","Southwest and Mountain Central"
"45",49,"CEOrace_5","2","Southwest and Mountain Central"
"46",2,"CEOrace_6","2","Southwest and Mountain Central"
