state,count,qn
AL,4,FndRaise_Overall_Chng
AR,2,FndRaise_Overall_Chng
AZ,8,FndRaise_Overall_Chng
CO,10,FndRaise_Overall_Chng
ID,2,FndRaise_Overall_Chng
KY,4,FndRaise_Overall_Chng
LA,6,FndRaise_Overall_Chng
MS,1,FndRaise_Overall_Chng
MT,3,FndRaise_Overall_Chng
NM,4,FndRaise_Overall_Chng
NV,5,FndRaise_Overall_Chng
OK,6,FndRaise_Overall_Chng
TN,13,FndRaise_Overall_Chng
TX,29,FndRaise_Overall_Chng
UT,6,FndRaise_Overall_Chng
WY,3,FndRaise_Overall_Chng
AL,4,FndRaise_Cashbelow250_Chng
AR,2,FndRaise_Cashbelow250_Chng
AZ,8,FndRaise_Cashbelow250_Chng
CO,10,FndRaise_Cashbelow250_Chng
ID,2,FndRaise_Cashbelow250_Chng
KY,4,FndRaise_Cashbelow250_Chng
LA,6,FndRaise_Cashbelow250_Chng
MS,1,FndRaise_Cashbelow250_Chng
MT,3,FndRaise_Cashbelow250_Chng
NM,4,FndRaise_Cashbelow250_Chng
NV,5,FndRaise_Cashbelow250_Chng
OK,6,FndRaise_Cashbelow250_Chng
TN,13,FndRaise_Cashbelow250_Chng
TX,29,FndRaise_Cashbelow250_Chng
UT,6,FndRaise_Cashbelow250_Chng
WY,3,FndRaise_Cashbelow250_Chng
AL,4,FndRaise_Cashabove250_Chng
AR,2,FndRaise_Cashabove250_Chng
AZ,8,FndRaise_Cashabove250_Chng
CO,10,FndRaise_Cashabove250_Chng
ID,2,FndRaise_Cashabove250_Chng
KY,4,FndRaise_Cashabove250_Chng
LA,6,FndRaise_Cashabove250_Chng
MS,1,FndRaise_Cashabove250_Chng
MT,3,FndRaise_Cashabove250_Chng
NM,4,FndRaise_Cashabove250_Chng
NV,5,FndRaise_Cashabove250_Chng
OK,6,FndRaise_Cashabove250_Chng
TN,13,FndRaise_Cashabove250_Chng
TX,29,FndRaise_Cashabove250_Chng
UT,6,FndRaise_Cashabove250_Chng
WY,3,FndRaise_Cashabove250_Chng
AL,4,FndRaise_RstrGift_Chng
AR,2,FndRaise_RstrGift_Chng
AZ,8,FndRaise_RstrGift_Chng
CO,10,FndRaise_RstrGift_Chng
ID,2,FndRaise_RstrGift_Chng
KY,4,FndRaise_RstrGift_Chng
LA,6,FndRaise_RstrGift_Chng
MS,1,FndRaise_RstrGift_Chng
MT,3,FndRaise_RstrGift_Chng
NM,4,FndRaise_RstrGift_Chng
NV,5,FndRaise_RstrGift_Chng
OK,6,FndRaise_RstrGift_Chng
TN,13,FndRaise_RstrGift_Chng
TX,29,FndRaise_RstrGift_Chng
UT,6,FndRaise_RstrGift_Chng
WY,3,FndRaise_RstrGift_Chng
AL,4,FndRaise_UnrstrGift_Chng
AR,2,FndRaise_UnrstrGift_Chng
AZ,8,FndRaise_UnrstrGift_Chng
CO,10,FndRaise_UnrstrGift_Chng
ID,2,FndRaise_UnrstrGift_Chng
KY,4,FndRaise_UnrstrGift_Chng
LA,6,FndRaise_UnrstrGift_Chng
MS,1,FndRaise_UnrstrGift_Chng
MT,3,FndRaise_UnrstrGift_Chng
NM,4,FndRaise_UnrstrGift_Chng
NV,5,FndRaise_UnrstrGift_Chng
OK,6,FndRaise_UnrstrGift_Chng
TN,13,FndRaise_UnrstrGift_Chng
TX,29,FndRaise_UnrstrGift_Chng
UT,6,FndRaise_UnrstrGift_Chng
WY,3,FndRaise_UnrstrGift_Chng
AL,4,FndRaise_DAF_Rcv
AR,2,FndRaise_DAF_Rcv
AZ,8,FndRaise_DAF_Rcv
CO,10,FndRaise_DAF_Rcv
ID,2,FndRaise_DAF_Rcv
KY,4,FndRaise_DAF_Rcv
LA,6,FndRaise_DAF_Rcv
MS,1,FndRaise_DAF_Rcv
MT,3,FndRaise_DAF_Rcv
NM,4,FndRaise_DAF_Rcv
NV,5,FndRaise_DAF_Rcv
OK,5,FndRaise_DAF_Rcv
TN,13,FndRaise_DAF_Rcv
TX,31,FndRaise_DAF_Rcv
UT,6,FndRaise_DAF_Rcv
WY,3,FndRaise_DAF_Rcv
AL,4,DonImportance
AR,2,DonImportance
AZ,8,DonImportance
CO,13,DonImportance
ID,2,DonImportance
KY,4,DonImportance
LA,6,DonImportance
MS,1,DonImportance
MT,3,DonImportance
NM,5,DonImportance
NV,5,DonImportance
OK,6,DonImportance
TN,14,DonImportance
TX,35,DonImportance
UT,7,DonImportance
WY,3,DonImportance
AL,4,FndRaise_DvlpVirtual
AR,2,FndRaise_DvlpVirtual
AZ,8,FndRaise_DvlpVirtual
CO,10,FndRaise_DvlpVirtual
ID,2,FndRaise_DvlpVirtual
KY,4,FndRaise_DvlpVirtual
LA,6,FndRaise_DvlpVirtual
MS,1,FndRaise_DvlpVirtual
MT,3,FndRaise_DvlpVirtual
NM,4,FndRaise_DvlpVirtual
NV,5,FndRaise_DvlpVirtual
OK,6,FndRaise_DvlpVirtual
TN,13,FndRaise_DvlpVirtual
TX,29,FndRaise_DvlpVirtual
UT,6,FndRaise_DvlpVirtual
WY,3,FndRaise_DvlpVirtual
AL,4,FndRaise_IncrExp
AR,2,FndRaise_IncrExp
AZ,8,FndRaise_IncrExp
CO,10,FndRaise_IncrExp
ID,2,FndRaise_IncrExp
KY,4,FndRaise_IncrExp
LA,6,FndRaise_IncrExp
MS,1,FndRaise_IncrExp
MT,3,FndRaise_IncrExp
NM,4,FndRaise_IncrExp
NV,5,FndRaise_IncrExp
OK,6,FndRaise_IncrExp
TN,13,FndRaise_IncrExp
TX,29,FndRaise_IncrExp
UT,6,FndRaise_IncrExp
WY,3,FndRaise_IncrExp
AL,4,FndRaise_IncStaff
AR,2,FndRaise_IncStaff
AZ,8,FndRaise_IncStaff
CO,10,FndRaise_IncStaff
ID,2,FndRaise_IncStaff
KY,4,FndRaise_IncStaff
LA,6,FndRaise_IncStaff
MS,1,FndRaise_IncStaff
MT,3,FndRaise_IncStaff
NM,4,FndRaise_IncStaff
NV,5,FndRaise_IncStaff
OK,6,FndRaise_IncStaff
TN,13,FndRaise_IncStaff
TX,29,FndRaise_IncStaff
UT,6,FndRaise_IncStaff
WY,3,FndRaise_IncStaff
AL,4,FndRaise_IncrCnslt
AR,2,FndRaise_IncrCnslt
AZ,8,FndRaise_IncrCnslt
CO,10,FndRaise_IncrCnslt
ID,2,FndRaise_IncrCnslt
KY,4,FndRaise_IncrCnslt
LA,6,FndRaise_IncrCnslt
MS,1,FndRaise_IncrCnslt
MT,3,FndRaise_IncrCnslt
NM,4,FndRaise_IncrCnslt
NV,5,FndRaise_IncrCnslt
OK,6,FndRaise_IncrCnslt
TN,13,FndRaise_IncrCnslt
