state,count,qn
TX,29,FndRaise_IncrCnslt
UT,6,FndRaise_IncrCnslt
WY,3,FndRaise_IncrCnslt
AL,4,FndRaise_DcrsCnslt
AR,2,FndRaise_DcrsCnslt
AZ,8,FndRaise_DcrsCnslt
CO,10,FndRaise_DcrsCnslt
ID,2,FndRaise_DcrsCnslt
KY,4,FndRaise_DcrsCnslt
LA,6,FndRaise_DcrsCnslt
MS,1,FndRaise_DcrsCnslt
MT,3,FndRaise_DcrsCnslt
NM,4,FndRaise_DcrsCnslt
NV,5,FndRaise_DcrsCnslt
OK,6,FndRaise_DcrsCnslt
TN,13,FndRaise_DcrsCnslt
TX,29,FndRaise_DcrsCnslt
UT,6,FndRaise_DcrsCnslt
WY,3,FndRaise_DcrsCnslt
AL,4,FndRaise_IncrVolntr
AR,2,FndRaise_IncrVolntr
AZ,8,FndRaise_IncrVolntr
CO,10,FndRaise_IncrVolntr
ID,2,FndRaise_IncrVolntr
KY,4,FndRaise_IncrVolntr
LA,6,FndRaise_IncrVolntr
MS,1,FndRaise_IncrVolntr
MT,3,FndRaise_IncrVolntr
NM,4,FndRaise_IncrVolntr
NV,5,FndRaise_IncrVolntr
OK,6,FndRaise_IncrVolntr
TN,13,FndRaise_IncrVolntr
TX,29,FndRaise_IncrVolntr
UT,6,FndRaise_IncrVolntr
WY,3,FndRaise_IncrVolntr
AL,4,FndRaise_DcrsVolntr
AR,2,FndRaise_DcrsVolntr
AZ,8,FndRaise_DcrsVolntr
CO,10,FndRaise_DcrsVolntr
ID,2,FndRaise_DcrsVolntr
KY,4,FndRaise_DcrsVolntr
LA,6,FndRaise_DcrsVolntr
MS,1,FndRaise_DcrsVolntr
MT,3,FndRaise_DcrsVolntr
NM,4,FndRaise_DcrsVolntr
NV,5,FndRaise_DcrsVolntr
OK,6,FndRaise_DcrsVolntr
TN,13,FndRaise_DcrsVolntr
TX,29,FndRaise_DcrsVolntr
UT,6,FndRaise_DcrsVolntr
WY,3,FndRaise_DcrsVolntr
AL,4,FndRaise_DAF_Seek
AR,2,FndRaise_DAF_Seek
AZ,8,FndRaise_DAF_Seek
CO,10,FndRaise_DAF_Seek
ID,2,FndRaise_DAF_Seek
KY,4,FndRaise_DAF_Seek
LA,6,FndRaise_DAF_Seek
MS,1,FndRaise_DAF_Seek
MT,3,FndRaise_DAF_Seek
NM,4,FndRaise_DAF_Seek
NV,5,FndRaise_DAF_Seek
OK,5,FndRaise_DAF_Seek
TN,13,FndRaise_DAF_Seek
TX,31,FndRaise_DAF_Seek
UT,6,FndRaise_DAF_Seek
WY,3,FndRaise_DAF_Seek
AL,4,VolImportance
AR,2,VolImportance
AZ,8,VolImportance
CO,13,VolImportance
ID,2,VolImportance
KY,4,VolImportance
LA,6,VolImportance
MS,1,VolImportance
MT,3,VolImportance
NM,5,VolImportance
NV,5,VolImportance
OK,6,VolImportance
TN,14,VolImportance
TX,36,VolImportance
UT,7,VolImportance
WY,3,VolImportance
AL,2,CEOrace_AAPI
AZ,6,CEOrace_AAPI
CO,6,CEOrace_AAPI
ID,1,CEOrace_AAPI
KY,1,CEOrace_AAPI
LA,5,CEOrace_AAPI
MS,1,CEOrace_AAPI
MT,1,CEOrace_AAPI
NM,3,CEOrace_AAPI
NV,4,CEOrace_AAPI
OK,4,CEOrace_AAPI
TN,9,CEOrace_AAPI
TX,23,CEOrace_AAPI
UT,3,CEOrace_AAPI
WY,2,CEOrace_AAPI
AL,2,CEOrace_Black
AZ,6,CEOrace_Black
CO,6,CEOrace_Black
ID,1,CEOrace_Black
KY,1,CEOrace_Black
LA,5,CEOrace_Black
MS,1,CEOrace_Black
MT,1,CEOrace_Black
NM,3,CEOrace_Black
NV,4,CEOrace_Black
OK,4,CEOrace_Black
TN,9,CEOrace_Black
TX,23,CEOrace_Black
UT,3,CEOrace_Black
WY,2,CEOrace_Black
AL,2,CEOrace_Hisp
AZ,6,CEOrace_Hisp
CO,6,CEOrace_Hisp
ID,1,CEOrace_Hisp
KY,1,CEOrace_Hisp
LA,5,CEOrace_Hisp
MS,1,CEOrace_Hisp
MT,1,CEOrace_Hisp
NM,3,CEOrace_Hisp
NV,4,CEOrace_Hisp
OK,4,CEOrace_Hisp
TN,9,CEOrace_Hisp
TX,23,CEOrace_Hisp
UT,3,CEOrace_Hisp
WY,2,CEOrace_Hisp
AL,2,CEOrace_NativeAm
AZ,6,CEOrace_NativeAm
CO,6,CEOrace_NativeAm
ID,1,CEOrace_NativeAm
KY,1,CEOrace_NativeAm
LA,5,CEOrace_NativeAm
MS,1,CEOrace_NativeAm
MT,1,CEOrace_NativeAm
NM,3,CEOrace_NativeAm
NV,4,CEOrace_NativeAm
OK,4,CEOrace_NativeAm
TN,9,CEOrace_NativeAm
TX,23,CEOrace_NativeAm
UT,3,CEOrace_NativeAm
WY,2,CEOrace_NativeAm
AL,2,CEOrace_White
AZ,6,CEOrace_White
CO,6,CEOrace_White
ID,1,CEOrace_White
KY,1,CEOrace_White
LA,5,CEOrace_White
MS,1,CEOrace_White
MT,1,CEOrace_White
NM,3,CEOrace_White
NV,4,CEOrace_White
OK,4,CEOrace_White
TN,9,CEOrace_White
TX,23,CEOrace_White
UT,3,CEOrace_White
WY,2,CEOrace_White
AL,2,CEOrace_Oth
AZ,6,CEOrace_Oth
CO,6,CEOrace_Oth
ID,1,CEOrace_Oth
KY,1,CEOrace_Oth
LA,5,CEOrace_Oth
MS,1,CEOrace_Oth
MT,1,CEOrace_Oth
NM,3,CEOrace_Oth
NV,4,CEOrace_Oth
OK,4,CEOrace_Oth
TN,9,CEOrace_Oth
TX,23,CEOrace_Oth
UT,3,CEOrace_Oth
WY,2,CEOrace_Oth
AL,2,BChairrace_AAPI
AZ,8,BChairrace_AAPI
CO,7,BChairrace_AAPI
ID,1,BChairrace_AAPI
KY,2,BChairrace_AAPI
LA,5,BChairrace_AAPI
MS,1,BChairrace_AAPI
MT,1,BChairrace_AAPI
NM,3,BChairrace_AAPI
NV,4,BChairrace_AAPI
OK,2,BChairrace_AAPI
TN,9,BChairrace_AAPI
TX,24,BChairrace_AAPI
UT,3,BChairrace_AAPI
WY,2,BChairrace_AAPI
AL,2,BChairrace_Black
AZ,8,BChairrace_Black
CO,7,BChairrace_Black
ID,1,BChairrace_Black
KY,2,BChairrace_Black
LA,5,BChairrace_Black
MS,1,BChairrace_Black
MT,1,BChairrace_Black
NM,3,BChairrace_Black
NV,4,BChairrace_Black
OK,2,BChairrace_Black
TN,9,BChairrace_Black
TX,24,BChairrace_Black
UT,3,BChairrace_Black
WY,2,BChairrace_Black
AL,2,BChairrace_Hisp
AZ,8,BChairrace_Hisp
CO,7,BChairrace_Hisp
ID,1,BChairrace_Hisp
KY,2,BChairrace_Hisp
LA,5,BChairrace_Hisp
MS,1,BChairrace_Hisp
MT,1,BChairrace_Hisp
NM,3,BChairrace_Hisp
NV,4,BChairrace_Hisp
OK,2,BChairrace_Hisp
TN,9,BChairrace_Hisp
TX,24,BChairrace_Hisp
UT,3,BChairrace_Hisp
WY,2,BChairrace_Hisp
AL,2,BChairrace_NativeAm
AZ,8,BChairrace_NativeAm
CO,7,BChairrace_NativeAm
ID,1,BChairrace_NativeAm
KY,2,BChairrace_NativeAm
LA,5,BChairrace_NativeAm
MS,1,BChairrace_NativeAm
MT,1,BChairrace_NativeAm
NM,3,BChairrace_NativeAm
NV,4,BChairrace_NativeAm
OK,2,BChairrace_NativeAm
TN,9,BChairrace_NativeAm
TX,24,BChairrace_NativeAm
UT,3,BChairrace_NativeAm
WY,2,BChairrace_NativeAm
AL,2,BChairrace_White
AZ,8,BChairrace_White
CO,7,BChairrace_White
ID,1,BChairrace_White
KY,2,BChairrace_White
LA,5,BChairrace_White
MS,1,BChairrace_White
MT,1,BChairrace_White
NM,3,BChairrace_White
NV,4,BChairrace_White
OK,2,BChairrace_White
TN,9,BChairrace_White
TX,24,BChairrace_White
UT,3,BChairrace_White
WY,2,BChairrace_White
AL,2,BChairrace_Oth
AZ,8,BChairrace_Oth
CO,7,BChairrace_Oth
ID,1,BChairrace_Oth
KY,2,BChairrace_Oth
LA,5,BChairrace_Oth
MS,1,BChairrace_Oth
MT,1,BChairrace_Oth
NM,3,BChairrace_Oth
NV,4,BChairrace_Oth
OK,2,BChairrace_Oth
TN,9,BChairrace_Oth
TX,24,BChairrace_Oth
UT,3,BChairrace_Oth
WY,2,BChairrace_Oth
CO,1,CEOgender_Man
NM,2,CEOgender_Man
OK,2,CEOgender_Man
TN,1,CEOgender_Man
TX,4,CEOgender_Man
CO,1,CEOgender_Woman
NM,2,CEOgender_Woman
OK,2,CEOgender_Woman
TN,1,CEOgender_Woman
TX,4,CEOgender_Woman
CO,1,CEOgender_Trans
NM,2,CEOgender_Trans
OK,2,CEOgender_Trans
TN,1,CEOgender_Trans
TX,4,CEOgender_Trans
CO,1,CEOgender_NB
NM,2,CEOgender_NB
OK,2,CEOgender_NB
TN,1,CEOgender_NB
TX,4,CEOgender_NB
CO,1,CEOgender_Oth
NM,2,CEOgender_Oth
OK,2,CEOgender_Oth
TN,1,CEOgender_Oth
TX,4,CEOgender_Oth
AZ,4,BChairgender_Man
CO,1,BChairgender_Man
ID,1,BChairgender_Man
NV,1,BChairgender_Man
TX,5,BChairgender_Man
UT,1,BChairgender_Man
CO,2,BChairgender_Woman
KY,1,BChairgender_Woman
LA,1,BChairgender_Woman
NM,2,BChairgender_Woman
TX,7,BChairgender_Woman
WY,1,BChairgender_Woman
AZ,4,BChairgender_Trans
CO,3,BChairgender_Trans
ID,1,BChairgender_Trans
KY,1,BChairgender_Trans
LA,1,BChairgender_Trans
NM,2,BChairgender_Trans
NV,1,BChairgender_Trans
TX,13,BChairgender_Trans
UT,1,BChairgender_Trans
WY,1,BChairgender_Trans
AZ,4,BChairgender_NB
CO,3,BChairgender_NB
ID,1,BChairgender_NB
KY,1,BChairgender_NB
LA,1,BChairgender_NB
NM,2,BChairgender_NB
NV,1,BChairgender_NB
TX,13,BChairgender_NB
UT,1,BChairgender_NB
WY,1,BChairgender_NB
AZ,4,BChairgender_Oth
CO,3,BChairgender_Oth
ID,1,BChairgender_Oth
KY,1,BChairgender_Oth
LA,1,BChairgender_Oth
NM,2,BChairgender_Oth
NV,1,BChairgender_Oth
TX,13,BChairgender_Oth
UT,1,BChairgender_Oth
WY,1,BChairgender_Oth
